datetime,ghi,GHI_pred_MLP
2023-01-01 14:00:00,962.4959323137001,761.2806682028927
2023-01-01 15:00:00,908.788914198937,676.6084900913886
2023-01-01 16:00:00,805.1119969627943,566.8018564481055
2023-01-01 17:00:00,596.8887623386485,410.40005637996796
2023-01-01 18:00:00,366.9115413819287,269.53104885204317
2023-01-01 19:00:00,138.2004555808656,142.5109715338696
2023-01-01 20:00:00,16.16113175878192,47.579067108260475
2023-01-02 06:00:00,44.83485193621868,36.59581083341243
2023-01-02 07:00:00,203.1188306757783,67.25535105992067
2023-01-02 08:00:00,432.1886864085042,241.32665958243226
2023-01-02 09:00:00,653.3409263477602,504.5250614150139
2023-01-02 10:00:00,855.6226271829917,571.0945583667514
2023-01-02 11:00:00,994.8177676537586,720.1536132816572
2023-01-02 12:00:00,1091.419893697798,763.908746009132
2023-01-02 13:00:00,1109.927866362946,777.4911641261576
2023-01-02 14:00:00,1062.319665907365,789.7797295856475
2023-01-02 15:00:00,948.861047835991,702.9534633774609
2023-01-02 16:00:00,784.5197418375095,575.2029750329361
2023-01-02 17:00:00,576.9514047076689,434.0969032853498
2023-01-02 18:00:00,345.8580106302202,301.8165329139329
2023-01-02 19:00:00,121.0497342444951,179.3227343017614
2023-01-02 20:00:00,15.11209687087879,97.92766676862209
2023-01-03 06:00:00,33.40261958997722,79.97465378010841
2023-01-03 07:00:00,189.9525436598329,217.39270892132208
2023-01-03 08:00:00,398.538344722855,350.8956464114949
2023-01-03 09:00:00,449.6260440394837,518.1388660059403
2023-01-03 10:00:00,636.9589977220957,666.3731233160755
2023-01-03 11:00:00,870.7479119210327,773.5120270560196
2023-01-03 12:00:00,1081.397114654518,836.0284600366691
2023-01-03 13:00:00,1089.426727410782,848.0050005912836
2023-01-03 14:00:00,1043.507972665148,807.1396496133557
2023-01-03 15:00:00,631.1940015186028,708.08336548654
2023-01-03 16:00:00,435.793470007593,580.1389790657059
2023-01-03 17:00:00,378.7262718299165,452.0125281209788
2023-01-03 18:00:00,363.2308276385726,315.7003540277942
2023-01-03 19:00:00,118.0258162490509,203.06032107289647
2023-01-03 20:00:00,15.68756743795708,128.27518336981166
2023-01-01 14:00:00,962.4959323137001,816.4796595595116
2023-01-01 15:00:00,908.788914198937,725.1777770593941
2023-01-01 16:00:00,805.1119969627943,610.0296947634062
2023-01-01 17:00:00,596.8887623386485,418.84910766527696
2023-01-01 18:00:00,366.9115413819287,282.0739399936555
2023-01-01 19:00:00,138.2004555808656,157.67110389500277
2023-01-01 20:00:00,16.16113175878192,97.65790336841661
2023-01-02 06:00:00,44.83485193621868,75.0324779711504
2023-01-02 07:00:00,203.1188306757783,198.4237359591674
2023-01-02 08:00:00,432.1886864085042,365.9761588912814
2023-01-02 09:00:00,653.3409263477602,551.1656692592372
2023-01-02 10:00:00,855.6226271829917,677.2962764976359
2023-01-02 11:00:00,994.8177676537586,803.1125664079836
2023-01-02 12:00:00,1091.419893697798,864.7785410162697
2023-01-02 13:00:00,1109.927866362946,876.8503138549902
2023-01-02 14:00:00,1062.319665907365,837.6100703281775
2023-01-02 15:00:00,948.861047835991,751.0326790463353
2023-01-02 16:00:00,784.5197418375095,588.312802201279
2023-01-02 17:00:00,576.9514047076689,442.6015456706785
2023-01-02 18:00:00,345.8580106302202,318.3418751298013
2023-01-02 19:00:00,121.0497342444951,196.23725532014825
2023-01-02 20:00:00,15.11209687087879,148.4556973745557
2023-01-03 06:00:00,33.40261958997722,134.8875666272686
2023-01-03 07:00:00,189.9525436598329,234.65399593068184
2023-01-03 08:00:00,398.538344722855,400.34291513223155
2023-01-03 09:00:00,449.6260440394837,558.8822988361601
2023-01-03 10:00:00,636.9589977220957,716.8908407647307
2023-01-03 11:00:00,870.7479119210327,824.8898654151919
2023-01-03 12:00:00,1081.397114654518,885.9624321655776
2023-01-03 13:00:00,1089.426727410782,896.048403360615
2023-01-03 14:00:00,1043.507972665148,856.268420252389
2023-01-03 15:00:00,631.1940015186028,742.4978667890102
2023-01-03 16:00:00,435.793470007593,535.2156756732035
2023-01-03 17:00:00,378.7262718299165,378.65056092488817
2023-01-03 18:00:00,363.2308276385726,291.01616523486746
2023-01-03 19:00:00,118.0258162490509,213.91275205050434
2023-01-03 20:00:00,15.68756743795708,170.49399313143155
2023-01-04 06:00:00,44.13001577010689,145.8348675182706
2023-01-04 07:00:00,195.709946848899,268.9539647462077
2023-01-04 08:00:00,425.5523917995444,437.99515504540005
2023-01-02 06:00:00,44.83485193621868,41.417773234019904
2023-01-02 07:00:00,203.1188306757783,174.07168608825862
2023-01-02 08:00:00,432.1886864085042,357.8249878871469
2023-01-02 09:00:00,653.3409263477602,554.5178016727183
2023-01-02 10:00:00,855.6226271829917,697.1888351394042
2023-01-02 11:00:00,994.8177676537586,802.4050045980672
2023-01-02 12:00:00,1091.419893697798,862.4554245932297
2023-01-02 13:00:00,1109.927866362946,872.4152521435103
2023-01-02 14:00:00,1062.319665907365,831.3177211751193
2023-01-02 15:00:00,948.861047835991,742.8726433954733
2023-01-02 16:00:00,784.5197418375095,607.3518184105118
2023-01-02 17:00:00,576.9514047076689,431.3245508879866
2023-01-02 18:00:00,345.8580106302202,298.1316042932474
2023-01-02 19:00:00,121.0497342444951,175.14496379182614
2023-01-02 20:00:00,15.11209687087879,127.42768061172339
2023-01-03 06:00:00,33.40261958997722,106.51052537070385
2023-01-03 07:00:00,189.9525436598329,213.27231927211497
2023-01-03 08:00:00,398.538344722855,367.4491077987317
2023-01-03 09:00:00,449.6260440394837,552.0060179765728
