date,corrida,leadtime,valid_time,PP,HR2,T2,dirViento10,magViento10,PSFC,ACLWDNB,ACLWUPB,ACSWDNB,TSLB,SMOIS,Freezing_level,Tmax,Tmin
20240312,12,68,2024-03-15 08:00:00,0.00390625,63.284637451171875,19.851043701171875,129.7750244140625,3.293518543243408,1008.1028442382812,100928216.0,112623848.0,39058976.0,22.782470703125,0.4294649660587311,4705.48486328125,,
20240312,12,69,2024-03-15 09:00:00,0.0110626220703125,63.5795783996582,19.72125244140625,129.22801208496094,2.797988176345825,1008.1661987304688,102393760.0,114160984.0,39058976.0,22.51336669921875,0.4275689125061035,4733.23974609375,,
20240312,12,70,2024-03-15 10:00:00,0.0093231201171875,65.24242401123047,19.4820556640625,129.56430053710938,3.9194443225860596,1008.0435180664062,103837416.0,115690512.0,39059160.0,22.195709228515625,0.42585766315460205,4758.14111328125,,
20240312,12,71,2024-03-15 11:00:00,0.0002899169921875,61.34089279174805,20.472412109375,121.74612426757812,3.359510660171509,1008.822998046875,105277736.0,117221864.0,39216468.0,22.2406005859375,0.42422887682914734,4679.7080078125,,
20240312,12,72,2024-03-15 12:00:00,0.0,56.68048095703125,21.9505615234375,120.48944854736328,3.852449655532837,1008.1731567382812,106587808.0,118781384.0,39961332.0,22.98150634765625,0.4227428734302521,4609.98974609375,,
20240312,18,0,2024-03-12 18:00:00,0.0,85.41502380371094,24.544281005859375,18.634300231933594,2.4001376628875732,1006.1075439453125,0.0,0.0,0.0,23.560821533203125,0.30400002002716064,5083.27392578125,,
20240312,18,1,2024-03-12 19:00:00,0.0,65.68174743652344,26.214202880859375,92.50074005126953,2.4121975898742676,1005.9352416992188,1417434.375,1734893.875,2504253.25,27.958343505859375,0.3040224015712738,4936.3505859375,,
20240312,18,2,2024-03-12 20:00:00,0.0,63.61886978149414,25.73095703125,110.43158721923828,3.3479676246643066,1004.814453125,2843092.25,3500867.5,4389411.0,29.406341552734375,0.304044246673584,4984.38037109375,,
20240312,18,3,2024-03-12 21:00:00,0.0,60.53404998779297,25.5225830078125,114.93446350097656,3.3715240955352783,1003.891845703125,4274802.0,5230077.5,5549061.0,29.08831787109375,0.3040691912174225,4974.06103515625,,
20240312,18,4,2024-03-12 22:00:00,0.0,65.48312377929688,24.906646728515625,105.62298583984375,3.3470914363861084,1002.89208984375,5719578.0,6904581.5,5915224.5,27.676239013671875,0.30409228801727295,5072.96240234375,,
20240312,18,5,2024-03-12 23:00:00,0.0,64.73675537109375,24.442291259765625,149.41464233398438,2.8177967071533203,1004.8997192382812,7163722.5,8529344.0,5924120.0,26.2061767578125,0.30411291122436523,5108.15673828125,,
20240312,18,6,2024-03-13 00:00:00,0.39617472887039185,74.79413604736328,22.52374267578125,176.01004028320312,3.3741538524627686,1008.5045776367188,8651659.0,10134809.0,5924120.0,25.198455810546875,0.30656883120536804,4872.1669921875,,
20240312,18,7,2024-03-13 01:00:00,10.069727897644043,93.15829467773438,21.3197021484375,146.08383178710938,3.0349373817443848,1008.2918701171875,10152367.0,11708564.0,5924120.0,24.076751708984375,0.34780779480934143,5211.68701171875,,
20240312,18,8,2024-03-13 02:00:00,11.800140380859375,92.97381591796875,21.024658203125,122.19020080566406,2.7350544929504395,1009.29443359375,11620050.0,13268509.0,5924120.0,23.413055419921875,0.37921619415283203,5197.03369140625,,
20240312,18,9,2024-03-13 03:00:00,4.053171157836914,92.22425842285156,22.639251708984375,96.44939422607422,2.370011806488037,1006.5079956054688,13126885.0,14826863.0,5924120.0,23.147735595703125,0.39263710379600525,4827.38720703125,,
20240312,18,10,2024-03-13 04:00:00,1.1381378173828125,93.73280334472656,23.418609619140625,36.474281311035156,0.8805730938911438,1007.9876098632812,14626153.0,16391750.0,5924120.0,23.135833740234375,0.39969244599342346,4749.62646484375,,
