date,corrida,leadtime,valid_time,PP,HR2,T2,dirViento10,magViento10,PSFC,ACLWDNB,ACLWUPB,ACSWDNB,TSLB,SMOIS,Freezing_level,Tmax,Tmin
20230526,12,51,2023-05-28 15:00:00,0.0,42.278106689453125,11.918426513671875,25.10936737060547,2.6695942878723145,989.4906616210938,59325364.0,71284152.0,24270008.0,13.8992919921875,0.1978471875190735,,,
20230526,12,52,2023-05-28 16:00:00,0.0,39.43122100830078,13.5123291015625,28.483806610107422,2.656459331512451,988.3578491210938,60325204.0,72777128.0,26424682.0,16.04638671875,0.19751305878162384,,,
20230526,12,53,2023-05-28 17:00:00,0.0,32.69768524169922,14.38616943359375,31.968097686767578,2.5220296382904053,986.6124267578125,61333304.0,74302328.0,28628310.0,17.82073974609375,0.19713179767131805,,,
20230526,12,54,2023-05-28 18:00:00,0.0,31.2983341217041,15.102783203125,34.83494567871094,2.7861268520355225,985.3215942382812,62348832.0,75838296.0,30657244.0,19.026092529296875,0.19674059748649597,,,
20230526,12,55,2023-05-28 19:00:00,0.0,29.53097915649414,15.101409912109375,44.63750076293945,2.832601547241211,984.4869384765625,63370156.0,77360376.0,32302408.0,19.482208251953125,0.19637945294380188,,,
20230526,12,56,2023-05-28 20:00:00,0.0,29.33163070678711,14.806060791015625,45.06452178955078,2.6428892612457275,983.9243774414062,64394044.0,78843536.0,33388460.0,19.08880615234375,0.19607721269130707,,,
20230526,12,57,2023-05-28 21:00:00,0.0,33.76403045654297,13.65582275390625,50.42729187011719,2.3287112712860107,983.7655029296875,65425748.0,80266280.0,33808232.0,17.827362060546875,0.1958518773317337,,,
20230526,12,58,2023-05-28 22:00:00,0.0,42.16596984863281,12.4776611328125,45.91859817504883,1.7176769971847534,983.8783569335938,66448084.0,81619776.0,33822476.0,16.065338134765625,0.19570742547512054,,,
20230526,12,59,2023-05-28 23:00:00,0.0,47.63432693481445,11.427337646484375,44.01640319824219,1.8292086124420166,983.85546875,67489280.0,82947216.0,33822476.0,14.6357421875,0.1955885887145996,,,
20230526,12,60,2023-05-29 00:00:00,0.0,53.32692337036133,10.3453369140625,44.20246887207031,2.049581527709961,983.828125,68526488.0,84259768.0,33822476.0,13.43756103515625,0.19548654556274414,,,
20230526,12,61,2023-05-29 01:00:00,0.0,55.75599670410156,9.974029541015625,38.73278045654297,2.641183376312256,984.0131225585938,69594072.0,85562368.0,33822476.0,12.54901123046875,0.19539101421833038,,,
