date,corrida,leadtime,valid_time,PP,HR2,T2,dirViento10,magViento10,PSFC,ACLWDNB,ACLWUPB,ACSWDNB,TSLB,SMOIS,GHI_Wm2
20240101,0,0,2024-01-01 00:00:00,0.0,50.8178825378418,25.1607666015625,78.34656524658203,1.6573772430419922,1011.3892211914062,0.0,0.0,0.0,26.69955444335937,0.213000014424324,
20240101,0,1,2024-01-01 01:00:00,0.0,53.90437698364258,25.041717529296875,77.93974304199219,2.2776567935943604,1012.1030883789062,1378515.25,1591257.625,0.0,24.92974853515625,0.2129999995231628,0.0
20240101,0,2,2024-01-01 02:00:00,0.0,62.36621856689453,24.398651123046875,77.22489166259766,2.59872841835022,1010.98974609375,2802247.5,3173365.75,0.0,23.83187866210937,0.2129999995231628,0.0
20240101,0,3,2024-01-01 03:00:00,0.0,69.50015258789062,23.752899169921875,80.12040710449219,1.724108099937439,1012.4071655273438,4058289.25,4717991.5,0.0,22.64666748046875,0.2129999995231628,0.0
20240101,0,4,2024-01-01 04:00:00,0.0,72.61632537841797,23.615875244140625,71.05523681640625,1.555443525314331,1011.2389526367188,5417512.5,6254685.0,0.0,22.0516357421875,0.2129999995231628,0.0
20240101,0,5,2024-01-01 05:00:00,0.0,66.81973266601562,23.235504150390625,47.77891540527344,1.1844711303710938,1010.9055786132812,6799835.5,7784233.5,0.0,21.65365600585937,0.2129999995231628,0.0
20240101,0,6,2024-01-01 06:00:00,0.0,71.82090759277344,22.7230224609375,7.182136535644531,1.448487401008606,1010.8412475585938,8153760.0,9304468.0,0.0,21.254913330078125,0.2129999995231628,0.0
20240101,0,7,2024-01-01 07:00:00,0.0,71.90802001953125,22.13427734375,324.36297607421875,1.7532899379730225,1011.3276977539062,9487935.0,10814487.0,0.0,20.882568359375,0.2129999995231628,0.0
20240101,0,8,2024-01-01 08:00:00,0.0,70.02656555175781,21.98394775390625,318.21728515625,1.3715636730194092,1012.186279296875,10902303.0,12326386.0,0.0,20.77059936523437,0.2129999995231628,0.0
20240101,0,9,2024-01-01 09:00:00,0.0,67.23172760009766,22.092926025390625,319.7711486816406,1.0870667695999146,1012.2763671875,12315393.0,13837239.0,2337.17724609375,20.67486572265625,0.2129999995231628,0.6492159016927084
20240101,0,10,2024-01-01 10:00:00,0.0,65.56515502929688,22.621551513671875,356.79449462890625,1.4783012866973877,1012.7477416992188,13726204.0,15353928.0,151887.9375,20.945098876953125,0.2129999995231628,41.541877848307294
20240101,0,11,2024-01-01 11:00:00,0.0,62.29025268554688,23.791778564453125,6.375732421875,2.4076743125915527,1012.832763671875,15143672.0,16894984.0,519849.625,21.6201171875,0.2129999995231628,102.2115798611111
20240101,0,12,2024-01-01 12:00:00,1.183281765797615e-30,58.369384765625,24.1865234375,6.506080627441406,3.2619760036468506,1012.458251953125,16565645.0,18467198.0,1298324.5,22.911041259765625,0.2129999995231628,216.24302083333333
20240101,0,13,2024-01-01 13:00:00,0.0,50.47667694091797,25.122039794921875,357.03533935546875,3.2085628509521484,1012.447265625,17949312.0,20116162.0,3131399.5,25.6798095703125,0.2129999995231628,509.1875
20240101,0,14,2024-01-01 14:00:00,0.0,43.92654800415039,26.28256225585937,350.892578125,2.6554718017578125,1012.1841430664062,19298280.0,21886656.0,5846148.5,29.320709228515625,0.2129999995231628,754.0969444444445
20240101,0,15,2024-01-01 15:00:00,0.0,39.60889053344727,27.7274169921875,358.9498596191406,2.321324110031128,1011.9937133789062,20686786.0,23702178.0,8491497.0,32.158416748046875,0.2129999995231628,734.8190277777778
20240101,0,16,2024-01-01 16:00:00,0.0,34.56747055053711,27.93536376953125,28.512451171875,2.0924177169799805,1011.0477905273438,21961798.0,25681508.0,12440458.0,36.3951416015625,0.2129999995231628,1096.933611111111
20240101,0,17,2024-01-01 17:00:00,0.0,29.296846389770508,28.09771728515625,44.63675308227539,2.373339891433716,1010.59521484375,23422164.0,27617660.0,14582907.0,36.16940307617188,0.2129999995231628,595.1247222222222
20240101,0,18,2024-01-01 18:00:00,0.0,29.336387634277344,28.590545654296875,53.81308364868164,2.687717199325561,1009.9364013671876,24786794.0,29623754.0,17729020.0,37.67218017578125,0.2129999995231628,873.9202777777778
20240101,0,19,2024-01-01 19:00:00,0.0,33.34917449951172,27.961334228515625,88.43411254882812,2.606276750564575,1009.2978515625,26176650.0,31595184.0,20393042.0,37.44430541992188,0.2129999995231628,740.0061111111111
20240101,0,20,2024-01-01 20:00:00,1.463556294457394e-32,34.661277770996094,27.501007080078125,85.0906753540039,3.034011125564575,1008.513427734375,27637122.0,33476410.0,21924244.0,35.31634521484375,0.2129999995231628,425.3338888888889
20240101,0,21,2024-01-01 21:00:00,4.583229413336746e-19,36.47509765625,26.408721923828125,92.70840454101562,3.159395933151245,1008.2179565429688,29086132.0,35282616.0,22989170.0,32.976837158203125,0.2129999995231628,295.8127777777778
20240101,0,22,2024-01-01 22:00:00,1.9261980530304999e-16,45.53208541870117,24.945037841796875,97.4013900756836,3.150081157684326,1008.818115234375,30551660.0,37013696.0,23410316.0,30.28778076171875,0.2129999995231628,116.985
20240101,0,23,2024-01-01 23:00:00,1.3090179515765966e-15,46.52867889404297,24.199676513671875,109.51962280273438,3.1373085975646973,1008.9546508789062,32010114.0,38673232.0,23472456.0,27.9542236328125,0.2129999995231628,17.261111111111113
20240101,0,24,2024-01-02 00:00:00,8.691750661218857e-14,43.73828125,24.4049072265625,107.96014404296876,2.812809705734253,1009.5882568359376,33458910.0,40297160.0,23472740.0,26.426177978515625,0.2129999995231628,0.07888888888888888
