date,corrida,leadtime,valid_time,PP,HR2,T2,dirViento10,magViento10,PSFC,ACLWDNB,ACLWUPB,ACSWDNB,TSLB,SMOIS,GHI_Wm2
20240330,0,39,2024-03-31 15:00:00,0.0,31.51756858825684,23.10528564453125,170.0902099609375,4.049447536468506,976.7642211914062,52632328.0,63530352.0,28830184.0,25.95513916015625,0.0964819565415382,741.1594444444445
20240330,0,40,2024-03-31 16:00:00,0.0,29.607948303222656,24.11077880859375,160.0582733154297,3.777855634689331,976.0028076171876,53918484.0,65331748.0,31812420.0,28.23837280273437,0.0965017974376678,828.3988888888889
20240330,0,41,2024-03-31 17:00:00,0.0,28.945032119750977,24.7225341796875,144.2106475830078,3.2429275512695312,974.904296875,55223216.0,67175224.0,34873952.0,30.267730712890625,0.0965210199356079,850.4255555555555
20240330,0,42,2024-03-31 18:00:00,0.0,31.489316940307617,24.882781982421875,134.025390625,3.185023784637451,973.64599609375,56607152.0,69030248.0,37447108.0,31.602081298828125,0.0965414121747016,714.7655555555556
20240330,0,43,2024-03-31 19:00:00,0.0,34.15614700317383,25.080230712890625,135.83580017089844,3.200325727462769,972.6110229492188,58012224.0,70854400.0,39594156.0,32.28472900390625,0.0965675041079521,596.4022222222222
20240330,0,44,2024-03-31 20:00:00,0.0,36.311279296875,24.987579345703125,140.00257873535156,3.250051975250244,972.5719604492188,59350628.0,72662176.0,41503380.0,32.376190185546875,0.0965974107384681,530.34
20240330,0,45,2024-03-31 21:00:00,0.0,43.44224166870117,24.157470703125,133.98226928710938,3.426344871520996,972.18701171875,60694904.0,74405608.0,42678360.0,31.60992431640625,0.0966326147317886,326.3833333333333
20240330,0,46,2024-03-31 22:00:00,0.0,52.14933776855469,23.38775634765625,129.06951904296875,2.7034575939178467,972.4747314453124,62043228.0,76070896.0,43079456.0,30.134552001953125,0.0966769233345985,111.41555555555556
20240330,0,47,2024-03-31 23:00:00,0.0,59.71427536010742,21.773895263671875,124.99000549316406,3.146040916442871,973.2522583007812,63374020.0,77660816.0,43084276.0,28.35479736328125,0.0967255607247352,1.3388888888888888
20240330,0,48,2024-04-01 00:00:00,0.0,64.78951263427734,20.466827392578125,135.15267944335938,2.782066583633423,974.2169799804688,64675172.0,79212352.0,43084276.0,26.69686889648437,0.0967750251293182,0.0
